frame,class,id,x_center,y_center,x,y,w,h
80,car,1,191.36478,663.3949,1.8332613,562.533,379.06302,201.72382
80,truck,2,176.7492,403.0265,160.66083,384.51605,32.176773,37.020905
81,car,1,191.35492,663.97675,2.1611454,563.3838,378.38754,201.18591
81,truck,2,176.79889,403.12067,160.55333,384.45624,32.49112,37.328857
82,car,1,191.36313,664.0697,0.8270854,562.7236,381.07208,202.69226
82,truck,2,176.88174,403.57843,160.44922,384.7706,32.86505,37.615692
83,car,1,191.0,664.4205,0.0,562.46814,382.0,203.90466
83,truck,2,176.80756,403.8391,160.20737,384.89853,33.20038,37.881195
84,car,1,191.0,664.714,0.0,562.59326,382.0,204.24152
84,truck,2,176.7369,404.17322,159.93161,385.00943,33.610565,38.327576
85,car,1,191.0,664.7848,0.0,561.96246,382.0,205.64465
85,truck,2,176.54431,404.6459,159.54428,385.26544,34.000076,38.760925
86,car,1,191.0,664.3229,0.0,561.8393,382.0,204.96722
86,truck,2,176.53194,404.7941,159.40376,385.26578,34.256348,39.05664
87,car,1,191.0,664.2731,0.0,561.8404,382.0,204.86536
87,truck,2,176.55194,404.8541,159.3892,385.28864,34.325455,39.13092
88,car,1,191.33136,664.96497,0.66270417,563.1268,381.3373,203.67639
88,truck,2,176.59259,404.57428,159.41708,385.0339,34.35103,39.08072
89,car,1,191.36545,664.57227,1.5545484,563.3117,379.6218,202.52118
89,truck,2,176.55107,404.3767,159.27402,384.74197,34.554108,39.26947
90,car,1,191.34369,664.70264,2.2233732,563.9202,378.24063,201.56482
90,truck,2,176.48373,404.2876,159.10266,384.5583,34.762146,39.458588
91,car,1,191.38599,664.5601,3.121921,564.38617,376.52814,200.3479
91,truck,2,176.42282,404.34134,158.96776,384.54745,34.91014,39.58777
92,car,1,191.38347,664.9442,2.8900368,564.757,376.98688,200.37439
92,truck,2,176.39862,404.37494,158.84355,384.47775,35.110153,39.794373
93,car,1,191.40729,664.62286,2.295658,564.1654,378.22327,200.91492
93,truck,2,176.3647,404.55524,158.69058,384.5259,35.348236,40.058655
94,car,1,191.3904,664.1278,2.4844646,563.87366,377.81186,200.50824
